protein_accession,protein_description,wt1,wt2,wt3,kog1,kog2,kog3
11683_NUCL_HUMAN,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,86.37403333333333,78.98723333333334,63.8306,50.2137,5.8662,101.30533333333332
11403_NOG1_HUMAN,Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,7.657733333333334,8.842933333333333,5.2498000000000005,4.158733333333333,10.0326,5.0305333333333335
4470_DECR_HUMAN,2_4-dienoyl-CoA reductase_ mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1,3.4194666666666667,2.039833333333333,0.8818666666666667,3.1615,8.4774,1.7013666666666667
11122_NDUA9_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9_ mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2,3.1375666666666664,3.742366666666667,3.4562666666666666,6.9072000000000005,8.259766666666668,5.326366666666667
19208_YBOX3_HUMAN,Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4,2.6264,1.6365666666666667,2.7383,1.7651666666666668,2.1333333333333333,1.8709
11202_NEST_HUMAN,Nestin OS=Homo sapiens GN=NES PE=1 SV=2,12.185633333333334,5.207166666666667,3.5537,17.667366666666666,17.57796666666667,4.543866666666666
8768_KDM3B_HUMAN,Lysine-specific demethylase 3B OS=Homo sapiens GN=KDM3B PE=1 SV=2,6.9279,5.720933333333334,5.395933333333334,5.303566666666667,3.7942333333333336,6.496133333333334
2973_CHD4_HUMAN,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2,24.9853,14.038433333333334,31.4531,16.0559,26.331799999999998,13.879233333333332
11282_NHRF1_HUMAN,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4,2.9385000000000003,5.052233333333334,3.8723666666666667,4.0816,9.1166,4.669066666666667
14613_RL5_HUMAN,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3,19.1681,18.742266666666666,14.308066666666667,19.3712,29.774766666666665,18.136
15015_RT34_HUMAN,28S ribosomal protein S34_ mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=2,1.4726000000000001,1.3298999999999999,2.0203333333333333,2.568833333333333,3.350833333333333,2.7599666666666667
16807_SYK_HUMAN,Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3,23.97056666666667,15.430033333333332,13.5601,13.460566666666667,11.883833333333333,13.946166666666667
