protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
LPPRC_HUMAN_P42704,Leucine-rich PPR motif-containing protein_ mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3,2.8909,3.2323,4.0207,2.6201,2.4522,2.4664
HMGA1_HUMAN_P17096,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3,0.3216,0.2529,0.2777,0.2882,0.14,0.2199
CALX_HUMAN_P27824,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,1.2718,1.7951,1.0608,1.9332,1.8415,1.1665
CSK2B_HUMAN_P67870,Casein kinase II subunit beta OS=Homo sapiens GN=CSNK2B PE=1 SV=1,0.1862,0.3289,0.1451,0.2218,0.2002,0.1748
SPB1_HUMAN_Q8IY81,pre-rRNA processing protein FTSJ3 OS=Homo sapiens GN=FTSJ3 PE=1 SV=2,0.8306,0.7066,0.899,0.6316,0.6563,0.5604
LAP2A_HUMAN_P42166,Lamina-associated polypeptide 2_ isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2,1.3387,1.8234,1.7367,2.1481,0.7117,1.2936
SF3A1_HUMAN_Q15459,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,1.4639,1.427,2.1245,1.1347,1.0818,0.7917
PEPD_HUMAN_P12955,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,0.2371,0.3581,0.1708,0.2522,0.1686,0.1727
EIF3E_HUMAN_P60228,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1,0.9224,0.832,0.6866,2.702,0.5639,0.509
PBDC1_HUMAN_Q9BVG4,Protein PBDC1 OS=Homo sapiens GN=PBDC1 PE=1 SV=1,0.2068,0.1735,0.1416,0.1871,0.2142,0.1276
UBP10_HUMAN_Q14694,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2,0.5802,0.5266,0.6057,0.6546,0.4445,0.3893
IFIT3_HUMAN_O14879,Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens GN=IFIT3 PE=1 SV=1,1.243,1.0566,0.8169,0.5213,0.9155,0.5619
U520_HUMAN_O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,2.83,2.1643,2.5944,1.9969,2.1239,2.6293
F8W7C6_HUMAN_F8W7C6,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=2,0.7328,0.8693,0.7235,0.83,0.7796,0.6942
F8VSA6_HUMAN_F8VSA6,NEDD8 OS=Homo sapiens GN=NEDD8 PE=4 SV=1,0.0145,0.0275,0.0106,0.0186,0.0179,0.0155
RL12_HUMAN_P30050,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,1.7238,1.4301,1.6763,1.1055,1.1246,1.1373
PSD11_HUMAN_O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,1.4566,1.2719,1.34,1.8562,1.4947,1.4475
PSB1_HUMAN_P20618,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,0.3181,0.5051,0.1745,0.5213,0.5822,0.4289
TBB6_HUMAN_Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1,1.4274,1.6556,1.2267,1.9101,1.8247,1.547
PSB5_HUMAN_P28074,Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3,0.7594,0.3647,0.4975,0.3203,0.2953,0.2269
ECM29_HUMAN_Q5VYK3,Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2,0.7231,0.5473,1.5812,1.7748,1.3422,1.768
ROA2_HUMAN_P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,2.8133,3.037,3.0679,2.5586,2.4321,2.1947
RFA1_HUMAN_P27694,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2,0.7492,0.4055,0.7298,0.2319,0.4299,0.5852
MANF_HUMAN_P55145,Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3,0.2581,0.3074,0.3031,0.6517,0.5395,0.574
ISG15_HUMAN_P05161,Ubiquitin-like protein ISG15 OS=Homo sapiens GN=ISG15 PE=1 SV=5,0.3577,0.3341,0.3129,0.256,0.2352,0.1925
MX2_HUMAN_P20592,Interferon-induced GTP-binding protein Mx2 OS=Homo sapiens GN=MX2 PE=1 SV=1,2.3249,4.3252,2.1841,3.904,4.1783,3.0246
PFKAP_HUMAN_Q01813,ATP-dependent 6-phosphofructokinase_ platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2,2.1573,2.1184,1.4927,2.5516,2.4446,2.0148
DIP2B_HUMAN_Q9P265,Disco-interacting protein 2 homolog B OS=Homo sapiens GN=DIP2B PE=1 SV=3,0.5392,0.4628,0.6288,0.5871,1.7963,0.6045
SQOR_HUMAN_Q9Y6N5,Sulfide:quinone oxidoreductase_ mitochondrial OS=Homo sapiens GN=SQOR PE=1 SV=1,0.7116,0.7398,0.6002,0.426,0.4095,0.3967
MA7D1_HUMAN_Q3KQU3,MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1 PE=1 SV=1,1.6344,0.7776,1.886,0.3846,1.3684,0.4261
ERP44_HUMAN_Q9BS26,Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1,0.9296,0.8232,0.8943,0.6622,0.6353,0.5591
SKP1_HUMAN_P63208,S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2,0.2987,0.3306,0.208,0.3155,0.2965,0.2609
UB2V1_HUMAN_Q13404,Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2,0.1143,0.3788,0.3359,0.5015,0.4226,0.4241
EIF3M_HUMAN_Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1,0.2671,0.5248,0.1758,0.3162,0.2334,0.2013
C9J9K3_HUMAN_C9J9K3,40S ribosomal protein SA (Fragment) OS=Homo sapiens GN=RPSA PE=1 SV=8,1.4295,1.7601,1.9349,1.6013,1.6639,1.4905
A0A0A0MT44_HUMAN_A0A0A0MT44,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1,0.7367,0.6813,0.6113,0.6522,0.6595,0.632
T3HPD_HUMAN_Q96EM0,Trans-3-hydroxy-L-proline dehydratase OS=Homo sapiens GN=L3HYPDH PE=1 SV=2,0.1969,0.1905,0.1995,0.1663,0.181,0.1809
SDPR_HUMAN_O95810,Serum deprivation-response protein OS=Homo sapiens GN=SDPR PE=1 SV=3,2.1762,0.419,0.5493,1.6525,1.6391,1.3699
PRPS1_HUMAN_P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,0.2911,0.2827,0.2783,0.4259,0.445,0.3743
HAP28_HUMAN_Q13442,28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1,0.4287,0.3109,0.3686,0.3077,0.2049,0.3112
HDGF_HUMAN_P51858,Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=1 SV=1,0.441,0.3995,0.4676,0.3579,0.307,0.3119
VATB2_HUMAN_P21281,V-type proton ATPase subunit B_ brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3,0.7619,0.5253,0.698,0.5924,0.454,0.4452
UBA1_HUMAN_P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,6.0988,6.2678,5.7552,8.612,7.7201,7.1224
E9PF19_HUMAN_E9PF19,Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1,0.1904,0.267,0.2385,0.1552,0.1881,0.22
THIO_HUMAN_P10599,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,0.7251,0.7236,0.9016,1.2335,0.7996,1.0912
ADT2_HUMAN_P05141,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7,1.5126,1.2862,2.2766,1.4493,0.8915,0.8221
EF2_HUMAN_P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,14.494,12.9923,15.3256,12.3725,12.4572,12.1964
SERC_HUMAN_Q9Y617,Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2,0.5441,0.5101,0.6205,0.5516,0.4687,0.4147
ADT3_HUMAN_P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,0.5394,0.3872,0.2604,0.3072,0.5766,0.4533
FUMH_HUMAN_P07954,Fumarate hydratase_ mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3,1.1822,1.1062,0.9224,1.2268,1.3455,1.232
STT3A_HUMAN_P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens GN=STT3A PE=1 SV=2,0.7413,0.561,0.6711,0.5341,0.4143,0.6721
K2C1_HUMAN_P04264,Keratin_ type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6,1.3596,0.5795,0.3058,0.3766,0.488,0.2654
MPPB_HUMAN_O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,0.343,0.2821,0.3189,0.2523,0.3,0.25
RS4X_HUMAN_P62701,40S ribosomal protein S4_ X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2,1.1464,1.4802,1.0842,1.4319,1.4527,1.0943
MCCB_HUMAN_Q9HCC0,Methylcrotonoyl-CoA carboxylase beta chain_ mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1,0.2607,0.3357,0.4575,0.418,0.5433,0.4302
GOLP3_HUMAN_Q9H4A6,Golgi phosphoprotein 3 OS=Homo sapiens GN=GOLPH3 PE=1 SV=1,0.3883,0.188,0.3376,0.3176,0.2749,0.3284
IFIT1_HUMAN_P09914,Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens GN=IFIT1 PE=1 SV=2,0.5537,0.6424,0.5343,1.1899,0.4829,0.2176
SNUT1_HUMAN_O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,0.6442,0.46,0.5799,0.4358,0.3969,0.4275
COPA_HUMAN_P53621,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,2.5075,2.1141,1.4088,1.8414,2.5745,1.759
PRS10_HUMAN_P62333,26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1,1.8386,1.534,1.1576,1.303,1.3234,1.1023
PSMD1_HUMAN_Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,3.6148,2.4929,2.7771,3.0149,2.6648,3.0128
6PGD_HUMAN_P52209,6-phosphogluconate dehydrogenase_ decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3,2.5306,1.9725,3.0159,1.9506,2.454,1.8484
IF2B2_HUMAN_Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 PE=1 SV=2,1.2441,0.8585,1.9186,1.1006,0.9758,1.0807
H10_HUMAN_P07305,Histone H1.0 OS=Homo sapiens GN=H1F0 PE=1 SV=3,0.239,0.2648,0.2545,0.0925,0.1448,0.137
STAT1_HUMAN_P42224,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,2.4324,1.4732,2.3942,1.7361,1.5509,1.6014
ARFP1_HUMAN_P53367,Arfaptin-1 OS=Homo sapiens GN=ARFIP1 PE=1 SV=2,0.1857,0.0803,0.142,0.1017,0.1076,0.1141
PPIC_HUMAN_P45877,Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens GN=PPIC PE=1 SV=1,0.1833,0.0746,0.1247,0.1929,0.1807,0.1655
ILF3_HUMAN_Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,4.1467,5.4246,3.4162,2.8478,2.7607,3.5217
DCTN2_HUMAN_Q13561,Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4,0.7149,1.0619,0.7233,1.2338,1.21,1.0403
A0A0C4DGA1_HUMAN_A0A0C4DGA1,Filamin-B (Fragment) OS=Homo sapiens GN=FLNB PE=1 SV=1,0.0424,0.0877,0.0513,0.0781,0.0853,0.0828
K2C72_HUMAN_Q14CN4,Keratin_ type II cytoskeletal 72 OS=Homo sapiens GN=KRT72 PE=1 SV=2,0.0759,0.0056,0.0426,0.6428,0.0267,0.1688
A0A1C7CYX9_HUMAN_A0A1C7CYX9,Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1,1.5423,1.1507,1.5759,0.9721,0.8632,0.8515
LDHA_HUMAN_P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,6.7796,5.76,7.8225,5.0853,5.0782,4.8477
CALM2_HUMAN_P0DP24,Calmodulin-2 OS=Homo sapiens GN=CALM2 PE=1 SV=1,1.0742,1.1419,0.7523,1.3921,1.5429,1.2835
GBF1_HUMAN_Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1 PE=1 SV=2,1.5743,0.8983,1.4785,1.3025,1.3359,1.2958
EF1B_HUMAN_P24534,Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3,0.4537,0.574,0.4055,0.7881,0.7892,0.6374
SCOT1_HUMAN_P55809,Succinyl-CoA:3-ketoacid coenzyme A transferase 1_ mitochondrial OS=Homo sapiens GN=OXCT1 PE=1 SV=1,0.5017,0.4098,0.4689,0.3716,0.3991,0.3732
KTN1_HUMAN_Q86UP2,Kinectin OS=Homo sapiens GN=KTN1 PE=1 SV=1,5.4004,3.8392,3.5651,5.726,4.8198,4.2083
MEA1_HUMAN_Q16626,Male-enhanced antigen 1 OS=Homo sapiens GN=MEA1 PE=1 SV=2,0.2271,0.1914,0.1915,0.1776,0.1806,0.1591
HCD2_HUMAN_Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3,0.5373,0.5739,0.509,0.4898,0.4807,0.5249
RAB8A_HUMAN_P61006,Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1,0.4254,0.3042,0.3267,0.2544,0.2246,0.2136
PKN2_HUMAN_Q16513,Serine/threonine-protein kinase N2 OS=Homo sapiens GN=PKN2 PE=1 SV=1,0.2429,0.1551,1.7472,0.1086,0.141,0.2637
CROCC_HUMAN_Q5TZA2,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1,3.1095,4.4274,4.3911,3.6949,2.4619,3.0486
PLIN3_HUMAN_O60664,Perilipin-3 OS=Homo sapiens GN=PLIN3 PE=1 SV=3,2.4834,2.1446,2.3546,2.1963,2.2053,1.8585
K2C8_HUMAN_P05787,Keratin_ type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7,13.3773,10.3354,14.4953,10.3124,9.6694,10.4306
K1C9_HUMAN_P35527,Keratin_ type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3,1.3036,1.3308,0.2014,0.2452,0.2265,0.0989
TMX1_HUMAN_Q9H3N1,Thioredoxin-related transmembrane protein 1 OS=Homo sapiens GN=TMX1 PE=1 SV=1,0.853,0.8062,0.8596,0.7103,0.7668,0.7039
PDXD1_HUMAN_Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=1 SV=2,0.3647,0.2452,0.404,0.2639,0.3039,0.3159
ECHA_HUMAN_P40939,Trifunctional enzyme subunit alpha_ mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2,1.9891,0.9685,1.8178,0.9583,1.3643,0.8251
SYRC_HUMAN_P54136,Arginine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=RARS PE=1 SV=2,2.3893,1.6362,1.8668,1.6629,1.5379,1.5024
EIF3L_HUMAN_Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1,1.3627,1.1572,1.441,1.1321,1.0321,2.152
MPPA_HUMAN_Q10713,Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens GN=PMPCA PE=1 SV=2,0.5758,0.4684,0.5674,0.2747,0.3266,0.3461
E9PK54_HUMAN_E9PK54,Heat shock cognate 71 kDa protein (Fragment) OS=Homo sapiens GN=HSPA8 PE=1 SV=8,4.4623,4.8575,4.0741,3.6494,3.4108,3.3772
RRBP1_HUMAN_Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4,5.4497,4.6495,4.5929,4.6936,4.6039,4.4363
ANXA2_HUMAN_P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,7.4666,6.7834,7.0028,5.7959,5.3239,5.0587
RHG01_HUMAN_Q07960,Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,0.2892,0.3969,0.4888,0.3657,0.3483,0.3085
ZYX_HUMAN_Q15942,Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1,4.5735,3.3929,3.7565,3.5361,3.0393,3.2714
TXND5_HUMAN_Q8NBS9,Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2,1.2343,0.8678,5.3864,1.0089,0.8419,0.8203
IQGA1_HUMAN_P46940,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,6.7697,5.4577,8.0299,7.2357,6.9649,7.3137
CAPG_HUMAN_P40121,Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2,1.1551,0.8427,1.0261,0.6332,0.6227,0.6288
HNRH2_HUMAN_P55795,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,1.9894,2.2911,2.0886,2.836,2.4614,3.041
ANXA5_HUMAN_P08758,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,1.8826,1.9034,1.6258,1.9535,1.8818,1.8307
SH3L1_HUMAN_O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,0.0955,0.0998,0.0949,0.0652,0.0722,0.0653
SYTC_HUMAN_P26639,Threonine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3,3.1535,3.4387,2.6954,2.5719,2.8432,2.2758
MATR3_HUMAN_P43243,Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2,3.3617,1.634,2.1282,2.2731,2.3166,1.8073
SYNC_HUMAN_O43776,Asparagine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1,1.0131,0.7997,1.7967,0.937,0.6994,0.6453
1A34_HUMAN_P30453,HLA class I histocompatibility antigen_ A-34 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,0.5208,1.0647,0.9165,1.2389,1.1694,1.1479
RPAP3_HUMAN_Q9H6T3,RNA polymerase II-associated protein 3 OS=Homo sapiens GN=RPAP3 PE=1 SV=2,0.1815,0.0906,0.1184,0.1191,0.2385,0.2146
H0Y5F3_HUMAN_H0Y5F3,Filamin-A (Fragment) OS=Homo sapiens GN=FLNA PE=1 SV=1,2.0048,1.6271,0.351,1.5238,1.4614,1.2895
PELP1_HUMAN_Q8IZL8,Proline-_ glutamic acid- and leucine-rich protein 1 OS=Homo sapiens GN=PELP1 PE=1 SV=2,0.294,0.3709,0.392,0.3263,0.333,0.3081
RM12_HUMAN_P52815,39S ribosomal protein L12_ mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2,0.4128,0.4735,0.3242,0.3987,0.3468,0.4897
CHRD1_HUMAN_Q9UHD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens GN=CHORDC1 PE=1 SV=2,0.3896,0.3749,0.3098,0.507,0.4291,0.3739
AT1A1_HUMAN_P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1,4.4527,3.8334,4.1333,3.7397,3.7073,4.2626
VAMP3_HUMAN_Q15836,Vesicle-associated membrane protein 3 OS=Homo sapiens GN=VAMP3 PE=1 SV=3,0.3702,0.3591,0.3444,0.3115,0.2871,0.1969
SC16A_HUMAN_O15027,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=1 SV=3,0.4015,0.9377,0.8566,0.4566,0.3283,0.4828
ELAV1_HUMAN_Q15717,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2,0.7354,0.5469,0.8202,0.8367,0.6757,0.7122
ABCF2_HUMAN_Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2,1.7291,1.7198,1.1637,2.4249,1.502,1.3653
OAS3_HUMAN_Q9Y6K5,2'-5'-oligoadenylate synthase 3 OS=Homo sapiens GN=OAS3 PE=1 SV=3,0.5105,0.5324,0.6107,0.2007,0.2625,0.2857
VAPB_HUMAN_O95292,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3,0.4413,0.3468,0.4509,0.3094,0.4063,0.2709
GDIB_HUMAN_P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,2.8983,3.0022,2.8838,2.6578,2.5501,2.5069
SPAG5_HUMAN_Q96R06,Sperm-associated antigen 5 OS=Homo sapiens GN=SPAG5 PE=1 SV=2,0.6168,0.3646,0.5975,0.3638,0.3395,0.3548
