protein.Accession,protein.Description,1 None,2 None,3 None,1 TGFB,2 TGFB,3 TGFB
Q13838,Spliceosome R helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1,75.33631835,99.22331795,87.04711732,111.2902512,95.89844586,100.388093
P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,157.2239025,167.6782041,178.3895128,135.8876076,140.1338789,156.5348363
P48960,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4,27.937535,15.83218007,23.60513881,17.96128965,39.20682957,29.55039414
P04259,Keratin_ type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5,5.358913693,10.88454633,24.08619006,29.55394292,42.87778668,1.749747916
P05386,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,24.84965291,78.88304593,87.80652039,101.3583927,107.3804887,116.7911675
P05387,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,22.20663056,107.6595681,155.1259273,153.3096693,137.1198475,122.8979115
P05388,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,22.21872338,80.93867277,94.90925885,135.1870417,92.97410017,113.7066076
Q9UJ70,N-acetyl-D-glucosamine kise OS=Homo sapiens GN=GK PE=1 SV=4,57.49995493,60.73929975,69.31831724,61.62643557,76.63243255,81.35087636
P20618,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,102.0296972,113.3111335,119.17408,132.8908775,126.1496592,112.356145
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,243.118345,131.7309876,117.2745242,183.9350182,137.9785126,108.6803692
Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,60.82711882,84.4350637,79.09280639,66.54668048,119.7994633,82.51336347
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,103.7159044,98.91780205,99.24058901,97.02834761,108.7702543,107.906941
O15258,Protein RER1 OS=Homo sapiens GN=RER1 PE=1 SV=1,22.61310535,26.45047743,27.03420901,12.99643662,24.09095275,29.32252972
Q9H9Y6,D-directed R polymerase I subunit RPA2 OS=Homo sapiens GN=POLR1B PE=1 SV=2,16.61108769,13.33503966,15.61896826,20.51936281,15.04299913,18.68194477
P29401,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,93.91986202,191.226703,209.444247,187.4063102,207.4998531,163.5362009
Q9Y305,Acyl-coenzyme A thioesterase 9_ mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2,36.61877546,20.02574219,10.11490599,30.9269685,44.93743684,26.46018417
P39023,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2,108.9229947,237.4844475,243.3172256,190.3417431,206.9954402,247.6199814
O75436,Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2,55.29851556,41.9792824,21.83481464,19.77281622,35.02149452,23.22397825
P35241,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,12.2929367,35.13185016,48.8962868,35.44577149,37.79003421,40.69179492
O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,34.39627118,8.674668616,9.164446206,13.80509145,10.12773242,8.776311572
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2,37.80582228,63.60533526,28.27730252,21.11252609,65.82339636,43.23141257
Q96AC1,Fermitin family homolog 2 OS=Homo sapiens GN=FERMT2 PE=1 SV=1,57.89909601,71.97662878,85.85397889,77.16955937,94.06333084,83.77077055
Q9NVP1,ATP-dependent R helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,26.77810663,70.35823391,45.00566247,40.59794745,61.06551809,42.93812117
Q96CS3,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,12.85693022,40.60082709,45.06465897,44.47077488,44.80994365,40.97084833
P62807,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens GN=HIST1H2BC PE=1 SV=4,196.5435117,167.4357294,161.8884257,118.0147232,375.7157221,194.9300765
P62805,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,336.5424794,330.80381,288.7325298,277.4102508,345.0573517,324.0773379
O60610,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,51.52266903,50.27947855,47.69308411,52.34881918,46.12148549,54.93657017
P17931,Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5,185.9418535,167.0628344,188.4450561,143.2783004,122.9076284,149.3286027
Q9BXW6,Oxysterol-binding protein-related protein 1 OS=Homo sapiens GN=OSBPL1A PE=1 SV=2,58.01347068,22.80180741,83.29172276,55.86971035,10.3701876,52.39876052
P06280,Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1,19.9280312,13.83767895,19.01350177,16.14143416,11.16324572,19.91454836
O15228,Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens GN=GNPAT PE=1 SV=1,7.150367458,5.674832571,7.441463191,8.402829243,6.019252545,80.90198401
Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2 OS=Homo sapiens GN=BZW2 PE=1 SV=1,14.84670624,8.380814484,10.73082081,7.620471371,9.562417084,12.22286692
O15321,Transmembrane 9 superfamily member 1 OS=Homo sapiens GN=TM9SF1 PE=2 SV=2,33.26118447,28.05129514,33.37735498,37.9644772,21.32955542,31.7808439
Q9Y6E0,Serine/threonine-protein kise 24 OS=Homo sapiens GN=STK24 PE=1 SV=1,9.978605001,7.505223818,15.80545375,15.18419996,14.77672184,10.33548505
Q09161,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,23.32650372,21.20718678,16.19918464,16.37885544,22.02963461,27.44882084
Q9Y4G6,Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4,52.17888006,7.502575976,24.52385262,18.47952376,9.592953863,45.97426066
Q14568,Putative heat shock protein HSP 90-alpha A2 OS=Homo sapiens GN=HSP90AA2 PE=1 SV=2,2.460771849,3.336788031,16.67917516,4.293266804,4.683631985,2.229093756
O60763,General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=1 SV=2,104.8937451,75.97458861,89.73383181,79.67544414,73.34113229,90.68687674
Q14566,D replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,54.92441832,31.16115747,27.61637005,44.83899467,35.94281567,40.90253985
Q15185,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1,12.11661558,18.26312443,19.23976444,30.19723574,22.53541605,40.70761492
Q15181,Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2,31.84952328,54.31191666,49.01320644,46.09497852,43.0930838,41.03254631
P17844,Probable ATP-dependent R helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,39.11496757,82.31233942,104.2736895,82.48790839,101.0535161,87.36902835
P58335,Anthrax toxin receptor 2 OS=Homo sapiens GN=ANTXR2 PE=1 SV=5,17.9125872,13.03588984,15.82447103,19.34080369,14.63708236,15.23821442
Q9H115,Beta-soluble NSF attachment protein OS=Homo sapiens GN=PB PE=1 SV=2,24.65702599,5.052082653,29.45934123,69.95636329,19.85138712,27.09829496
P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2,10.30760772,10.42523024,5.338147254,3.748423799,3.898785434,6.717960758
O95678,Keratin_ type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2,5.207558397,32.31815178,8.313543003,12.01852048,15.08782062,3.71690776
P41214,Eukaryotic translation initiation factor 2D OS=Homo sapiens GN=EIF2D PE=1 SV=3,18.45949474,42.05691488,15.18953894,73.10076813,43.47889933,12.84854771
O94906,Pre-mR-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,24.58181645,6.202485523,14.49793385,16.9896436,22.06440548,17.64477461
O94905,Erlin-2 OS=Homo sapiens GN=ERLIN2 PE=1 SV=1,11.13538076,12.46981501,31.45042239,15.23588923,13.20446262,29.16020527
Q2TAY7,WD40 repeat-containing protein SMU1 OS=Homo sapiens GN=SMU1 PE=1 SV=2,51.84761481,44.13259771,39.96247244,49.49389923,40.08850423,17.25707174
Q92526,T-complex protein 1 subunit zeta-2 OS=Homo sapiens GN=CCT6B PE=1 SV=5,11.61644094,14.19648972,14.46909224,5.223736126,2.932942176,17.43131768
Q9H361,Polyadenylate-binding protein 3 OS=Homo sapiens GN=PABPC3 PE=1 SV=2,4.829716285,6.849629391,2.912876134,5.889145845,20.3513948,14.23098925
O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,140.2272489,148.9926644,169.8467649,135.1918145,138.8273838,116.973493
Q8N3C0,Activating sigl cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3,32.15824127,22.63685248,26.74643694,78.20796163,37.60890919,26.60516312
O43795,Unconventiol myosin-Ib OS=Homo sapiens GN=MYO1B PE=2 SV=3,82.83371074,46.77869332,37.4783311,38.92058839,56.78078882,41.30871822
Q8N684,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 PE=1 SV=1,10.23146197,13.35734913,15.29722775,19.97951093,13.82033044,12.43027835
P53634,Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2,51.62705738,67.10905002,52.90237858,64.61436884,70.11971591,57.43330434
Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,217.9480373,39.30935621,45.94941697,82.65679537,25.4892293,78.02223647
Q14108,Lysosome membrane protein 2 OS=Homo sapiens GN=SCARB2 PE=1 SV=2,32.4478448,21.16544101,22.01100858,55.09867608,36.50855869,32.39991419
Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2,20.09772077,23.1951528,12.90924615,15.22790344,36.72150354,24.63286178
Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,88.45975873,190.1361301,147.5422513,144.3500184,174.0831219,177.3084103
P27449,V-type proton ATPase 16 kDa proteolipid subunit OS=Homo sapiens GN=ATP6V0C PE=1 SV=1,10.9125608,90.77061737,49.5173537,29.78194346,83.81593188,24.85377671
P16152,Carbonyl reductase [DPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3,193.1277972,107.3045319,121.3672166,99.94905674,68.22806081,146.4521321
O75165,DJ homolog subfamily C member 13 OS=Homo sapiens GN=DJC13 PE=1 SV=5,59.54169106,78.23494434,34.1477315,28.20783818,23.08832849,33.77608423
P99999,Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2,32.54630376,96.05880867,91.20066245,107.8395788,94.5355817,100.5025055
P06865,Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2,38.96111569,28.55325839,20.08796532,14.85534762,44.32486221,44.43570967
P30876,D-directed R polymerase II subunit RPB2 OS=Homo sapiens GN=POLR2B PE=1 SV=1,29.79959524,21.23676374,16.73262811,16.5439055,38.52060741,16.55421198
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,49.40010605,25.80727716,18.85419103,23.13826523,23.26581818,12.8775322
O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,7.462440233,41.5056567,35.81192006,46.95519785,50.43422819,56.98853648
P26640,Valine--tR ligase OS=Homo sapiens GN=VARS PE=1 SV=4,111.3019255,120.6714584,115.1122118,128.6586271,113.4819425,109.8699198
P26641,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,169.5960276,162.6591913,166.7099243,166.4482592,214.0018776,168.6713712
Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,126.7063058,52.33257021,38.59984536,55.52438732,68.40272776,67.11107311
O75368,SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,23.65995348,35.09647048,18.61463143,40.66822864,37.55921208,38.0752243
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,64.44560265,75.53425811,80.74422838,114.1750555,95.54504893,97.90135933
P60709,Actin_ cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1,135.2255024,579.7033299,420.8965468,464.0701703,294.6850524,150.8936522
O14787,Transportin-2 OS=Homo sapiens GN=TNPO2 PE=1 SV=3,16.12831111,9.812846343,6.478060038,13.21932127,14.05607095,5.103134797
P40763,Sigl transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=1 SV=2,32.03692298,45.68637396,23.55080192,30.7615753,35.81793136,31.32116005
Q9NUU7,ATP-dependent R helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,23.78431448,8.876636994,8.30965368,11.93594865,5.216999176,11.96788251
Q13347,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1,87.88499869,53.52770471,76.78248499,66.1308267,61.51976337,73.04317563
P49411,Elongation factor Tu_ mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2,141.145445,141.3689074,181.5513561,147.8169742,94.22880255,99.8124712
P49419,Alpha-aminoadipic semialdehyde dehydrogese OS=Homo sapiens GN=ALDH7A1 PE=1 SV=5,15.21003697,52.61132601,21.74768369,28.27506231,35.81549355,49.28758905
P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,37.28271029,56.91806929,63.76263304,88.02178016,52.54254902,70.38033152
P62491,Ras-related protein Rab-11A OS=Homo sapiens GN=RAB11A PE=1 SV=3,0.866860151,4.960703934,4.080456152,1.187106411,1.597065003,15.56116831
P61619,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens GN=SEC61A1 PE=1 SV=2,32.39104756,20.44500262,54.62031052,60.17511181,40.36115404,59.97359999
P62495,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=1 SV=3,33.30986783,41.86446746,34.93519327,49.33555598,59.291776,29.84063454
Q9NYU1,UDP-glucose:glycoprotein glucosyltransferase 2 OS=Homo sapiens GN=UGGT2 PE=1 SV=4,45.44903067,29.72884393,27.4785895,32.97289049,50.00286411,26.25712324
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,152.5718336,74.64210434,60.6211455,93.94018644,82.86137953,69.00579997
P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,71.42042917,155.7333942,150.8753259,145.7806602,139.4066844,125.2717582
Q3KQV9,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Homo sapiens GN=UAP1L1 PE=2 SV=2,7.570495432,8.307576299,4.836399245,11.10629993,5.884317617,8.697720098
P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2,145.6900048,151.9097413,116.5970874,141.3976156,117.2811626,113.2122892
Q13641,Trophoblast glycoprotein OS=Homo sapiens GN=TPBG PE=1 SV=1,77.13580799,96.32821251,99.99331204,146.0190485,103.8089258,81.02470196
P49770,Translation initiation factor eIF-2B subunit beta OS=Homo sapiens GN=EIF2B2 PE=1 SV=3,32.06493151,19.65814284,14.70498982,15.44308305,13.00409174,21.41676985
P25205,D replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,64.96278526,28.88514004,40.46817291,47.53588332,52.05413162,50.38131569
Q16186,Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens GN=ADRM1 PE=1 SV=2,15.07764009,22.92614331,14.12263937,36.00452724,24.54763584,13.56451547
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3,17.06608979,12.53437729,42.49379076,17.84175236,30.04070632,52.23700107
O15523,ATP-dependent R helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,4.114991612,16.27853863,23.17043112,1.184673241,8.096395066,19.4881995
Q16181,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,34.30990503,97.57771228,127.7767841,124.6468594,98.10607537,85.46740848
Q6ZTN6,Ankyrin repeat domain-containing protein 13D OS=Homo sapiens GN=ANKRD13D PE=1 SV=2,11.32083001,3.865567724,8.159977857,2.876880874,3.069459542,2.022586325
Q96B97,SH3 domain-containing kise-binding protein 1 OS=Homo sapiens GN=SH3KBP1 PE=1 SV=2,23.09892465,19.70512795,24.05689385,14.29116403,22.72937164,23.65173961
Q96M27,Protein PRRC1 OS=Homo sapiens GN=PRRC1 PE=1 SV=1,47.92938508,51.35174191,65.27371106,65.96705562,50.50821787,77.40972017
Q9H0B6,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1,25.50071474,12.0147242,17.47947928,14.8979593,11.17201329,11.53627915
Q9BYN0,Sulfiredoxin-1 OS=Homo sapiens GN=SRXN1 PE=1 SV=2,30.11057576,9.556400022,13.26726597,12.15047318,23.79619156,19.479555
Q13733,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Homo sapiens GN=ATP1A4 PE=1 SV=3,2.844777399,3.258479511,3.999386483,18.60423934,24.68774577,1.94913635
P10644,cAMP-dependent protein kise type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1,111.689988,91.88986585,107.6232054,101.2855536,117.0810911,90.26894638
P48556,26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens GN=PSMD8 PE=1 SV=2,49.17361924,25.18700607,38.84667851,35.37630135,60.04732606,30.23308341
O15067,Phosphoribosylformylglycimidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4,41.92362255,30.94583721,45.82766093,55.73108203,39.45843723,29.20195876
P60891,Ribose-phosphate pyrophosphokise 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,73.80989239,50.77710384,39.34941148,25.8520925,30.41463217,32.01899132
P07099,Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1,77.48993257,37.37755825,51.72603495,45.4403309,45.00193189,45.79459072
Q9NZM1,Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,151.7698846,93.3489395,86.28128676,78.35092599,90.73991136,84.96145115
Q7Z3E5,LisH domain-containing protein ARMC9 OS=Homo sapiens GN=ARMC9 PE=2 SV=2,32.8886476,16.6907006,11.84215716,13.37523134,14.3102875,22.81904289
A6NNZ2,Tubulin beta-8 chain-like protein LOC260334 OS=Homo sapiens PE=1 SV=1,3.790747999,2.879669085,2.13381177,3.210349998,1.595995788,4.001611165
O75962,Triple functiol domain protein OS=Homo sapiens GN=TRIO PE=1 SV=2,37.39045342,59.97356636,58.69692786,45.27702774,55.39970524,39.45009484
P69905,Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,14.42689034,82.6234327,99.13444078,120.7953066,34.90088708,58.08435362
P30519,Heme oxygese 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2,49.68339012,40.51299761,59.29034016,77.02098,30.77961939,34.88065886
Q12788,Transducin beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2,31.57762987,23.238476,27.9546023,34.95923099,25.9061376,25.12672812
Q7Z4H8,KDEL motif-containing protein 2 OS=Homo sapiens GN=KDELC2 PE=1 SV=2,30.73620365,33.5906934,28.8858554,29.03954574,36.6194149,29.69266109
Q9UNF1,Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,10.33163733,6.935149056,11.72631088,13.60831659,17.58264128,14.64349561
Q7Z4H3,HD domain-containing protein 2 OS=Homo sapiens GN=HDDC2 PE=1 SV=1,18.68566948,18.16932321,19.72014642,36.01092211,11.89091066,8.208656261
O75746,Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2,33.35199765,14.00308457,13.44563187,21.18804795,32.02144842,15.98350567
P42766,60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2,74.68057543,61.5694264,37.88088873,59.69465424,104.9744129,113.6203886
Q8TAA3,Proteasome subunit alpha type-7-like OS=Homo sapiens GN=PSMA8 PE=1 SV=3,49.29618582,7.05542869,22.47455787,10.09057606,1.190421169,4.071106142
O15061,Synemin OS=Homo sapiens GN=SYNM PE=1 SV=2,36.29117707,47.38369706,9.218972504,16.57481924,7.333873725,14.9887105
P55072,Transitiol endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,197.3676179,331.6033456,323.0597258,227.8079819,392.5353288,282.5226752
P17066,Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2,101.3262852,13.86787562,3.897897865,7.967385322,11.81987202,24.5843283
Q01813,6-phosphofructokise type C OS=Homo sapiens GN=PFKP PE=1 SV=2,112.050276,148.2114383,153.4021235,104.1444664,106.4872238,80.74977306
P49792,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2,35.31696388,20.74922278,8.581161304,20.83105818,20.97171055,26.03767731
P56545,C-termil-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1,38.71325189,22.91803077,22.35914093,9.283543348,28.30276155,24.69958826
Q8TDI0,Chromodomain-helicase-D-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1,10.15406792,6.793912033,32.92222834,23.30593563,9.278348053,28.34734004
P51116,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2,168.3094296,26.62529134,40.2170716,35.97732564,37.23652301,23.54037815
P51114,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3,86.96851897,44.82300844,25.89048267,40.05528806,46.66892355,37.43620951
Q00341,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2,219.8559722,70.3883179,80.70153421,77.30725186,70.07532211,75.54595529
Q00610,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,293.8116806,364.3901091,295.7078045,273.4679844,338.8361458,319.2247805
P78357,Contactin-associated protein 1 OS=Homo sapiens GN=CNTP1 PE=1 SV=1,11.42240969,13.51548727,17.13839317,5.78217993,7.456747908,7.350365047
O95336,6-phosphogluconolactose OS=Homo sapiens GN=PGLS PE=1 SV=2,52.46294431,17.21486066,31.04214443,28.07703967,39.82043065,38.30320172
Q9UQ16,Dymin-3 OS=Homo sapiens GN=DNM3 PE=1 SV=4,30.00649949,14.33783941,22.78413794,11.95575716,24.20617135,34.38362853
O60812,Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens GN=HNRNPCL1 PE=1 SV=1,17.39165972,0.338980121,1.747266033,0.351000429,9.060655887,7.726880922
P09493,Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2,8.822297351,11.14848548,10.26091979,93.42532134,1.219632122,70.06828212
Q96T76,MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2,27.02862305,17.14793222,22.54542438,24.31900797,17.55976008,28.58187146
P31483,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3,17.08255163,22.86918654,25.03217965,23.88727619,27.75840283,2.540747652
Q32MZ4,Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1 PE=1 SV=2,27.99768703,45.72524654,36.39356337,45.51426185,45.94750283,38.14336327
